Index,Steps,Seed: 0,Seed: 1,Seed: 2,Seed: 3,Seed: 4,Seed: 5,Seed: 6,Seed: 7,Seed: 8,Seed: 9
0,0,20.547009,18.492308,19.079365,19.86777,19.079365,24.530613,20.033333,17.171429,21.087719,20.904348
1,600,25.531916,22.64151,26.086956,26.373627,24.489796,31.16883,26.966291,21.238937,26.966291,25.806452
2,1200,34.285713,33.333332,35.294117,28.235294,31.578947,36.923077,32.0,24.742268,34.782608,32.876713
3,1800,50.0,42.105263,43.636364,40.0,36.923077,38.70968,43.636364,36.363636,35.820896,38.70968
4,2400,72.72727,61.53846,55.813953,63.157894,55.813953,52.173912,60.0,46.153847,64.86487,53.333332
5,3000,104.347824,77.41936,77.41936,72.72727,92.30769,54.545456,70.588234,61.53846,92.30769,60.0
6,3600,150.0,150.0,126.31579,120.0,126.31579,88.888885,133.33333,68.57143,120.0,92.30769
7,4200,141.17647,160.0,133.33333,114.28571,150.0,120.0,133.33333,104.347824,141.17647,120.0
8,4800,184.61539,141.17647,150.0,150.0,126.31579,160.0,141.17647,150.0,133.33333,171.42857
9,5400,184.61539,171.42857,150.0,171.42857,160.0,160.0,184.61539,114.28571,141.17647,171.42857
10,6000,171.42857,150.0,171.42857,184.61539,150.0,150.0,150.0,160.0,160.0,200.0
11,6600,200.0,160.0,200.0,200.0,200.0,184.61539,171.42857,160.0,184.61539,160.0
12,7200,171.42857,171.42857,200.0,171.42857,184.61539,184.61539,184.61539,184.61539,184.61539,184.61539
13,7800,184.61539,200.0,200.0,200.0,150.0,160.0,200.0,184.61539,200.0,160.0
14,8400,200.0,200.0,184.61539,184.61539,184.61539,184.61539,200.0,171.42857,171.42857,184.61539
15,9000,184.61539,200.0,171.42857,200.0,200.0,171.42857,184.61539,184.61539,171.42857,184.61539
16,9600,184.61539,171.42857,200.0,200.0,184.61539,200.0,200.0,184.61539,184.61539,200.0
17,10200,200.0,184.61539,200.0,184.61539,200.0,171.42857,184.61539,200.0,184.61539,200.0
18,10800,200.0,200.0,200.0,200.0,200.0,184.61539,200.0,200.0,184.61539,200.0
